bvid,标题,日期,作者,标签,播放量,弹幕数量,点赞量,收藏量,分享次数,投币数,评论数量
BV1ts411p7Rk,张雪峰狂怼北京理工大学考研同学：你还读个毛啊！,2018-07-07,铁壶-资源,"{'日常', '考研', '生活', '怼人', '张雪峰'}",1637101,180,6953,3092,1125,252,806
BV18F411z7Lo,做崩一套题自罚一块炸鸡,2021-12-13,Cloudaseed,"{'日常', '生活', '生活记录', '北京理工大学'}",1549141,1683,65844,16809,17071,7507,6710
BV1fT4y1u7mi,【B站毕业歌】20所高校联合唱响《入海》| 北方高校版,2020-05-30,爱学习的校园观察家,"{'音乐', '毕业', '入海', '入海二创', '校园', '大学', 'MV', '青春', '毕业季'}",1537160,11063,57521,26146,13850,23126,3201
BV1b44y1N7wX,哈尔滨当下的路边摊，夹缝中生存，老北京炒饼！,2022-03-22,小曹和辉哥-逛吃,"{'美食侦探', '打卡挑战', '路边摊', '街头小吃', '美食', '街头美食'}",1514592,1621,120487,9479,2328,2050,1751
BV1HW4y1k7mP,【罗翔】当年我实习的主要工作就是唱歌？！#2022毕业坦白局01#,2022-06-13,罗翔说刑法,"{'毕业', '社科·法律·心理', '知识', '2022哔哩哔哩毕业季', '毕业坦白局', '2022毕业季', '校园', '大学', '工作'}",1363797,6920,123532,20211,10247,35472,2375
BV1r34y157Je,【985文弱书生】文明其精神   野蛮其体魄,2022-06-17,大四的小董专心考研,"{'运动', '健身', '大学生', '小鲜肉', '肌肉', '初夏燃烧卡路里', '反差'}",883646,979,48912,10525,12286,2805,2337
BV1SY411J7vo,这不比招生简章好使？北京理工大学学生校园内开63式装甲车行驶,2022-04-02,火闻视频,"{'帅气帅哥', '社会', '北京理工大学', '北京', '装甲车', '坦克', '资讯', '帅气', '这不比招生简章好使', '拉风'}",811717,94,34931,2699,3515,457,567
BV1q4411Y7Ph,不管你信不信 这就是中国目前大学生最高水平的球队 北理工半小时连进三球剑指第十冠,2019-05-10,校园足球,"{'校园足球', '北京理工大学', '运动', '大学生', '大足联赛', '北理工足球队', '体育', '足球'}",754676,932,3478,726,521,197,1903
BV1SY4y167fF,操场银行《That That》打歌直拍 跳着跳着停电了…,2022-05-06,Choco_deer,"{'轻舞蹈创作激励计划第三期', 'SUGA', 'PSY', 'BTS', '大学生宅校舞蹈日记', 'That That', '舞蹈翻跳', '舞蹈', '明星舞蹈'}",715145,218,67350,12998,2197,4665,535
BV1Qp4y1878C,【欢迎报考北京理工大学】B站屈指可数的LOVE SO SWEET超甜美少女翻跳,2021-04-14,Lanx澜,"{'网球场', '北京理工大学', 'BDF全民舞蹈狂欢季第一期', '舞蹈', '小甜歌', '春天', '美女', '舞蹈综合', '跳舞'}",649163,559,14054,4942,5194,2551,1244
BV19r4y1h7fD,因为疫情停学两年，但也要一直往前走不是吗,2022-02-11,保护我方RUI,"{'热爱', '北京理工大学', '日常', '摄影', '皇家理工学院', '虎年大吉大利', '生活', '大学', '虎年迎新春', '留学', '疫情'}",632279,122,22788,4241,412,999,540
